match_id;match_date;competition_id;home_team_id;away_team_id;home_team_score;away_team_score;season_id;;;;
99;2025/03/13;2;1;7;1;0;1;;;;
98;2025/03/09;1;1;8;1;0;1;;;;
97;2025/03/06;2;7;1;1;2;1;;;;
95;2025/02/25;1;1;9;4;0;1;;;;
96;2025/02/22;1;3;1;2;1;1;;;;
94;2025/02/14;1;4;1;3;0;1;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
